s,ell,m,n,branch_id,source_coordinate_id,source_coordinate_numerator,source_coordinate_denominator,source_transformation_id,spin_numerator,spin_denominator,spin_float,spin_binary64_hex,omega_re_M,omega_im_M,angular_A_re,angular_A_im,root_solver_success,optimizer_residual_abs,continued_fraction_error,continued_fraction_terms,angular_padding,angular_refinement_padding,angular_refinement_abs,repeat_polish_delta_abs,predictor_correction_abs,predictor_correction_over_separation,assigned_separation_abs,assignment_relative_gap,canonical_polish_delta_abs,independent_path_delta_abs,reverse_delta_abs,angular_overlap_min,schedule_a_steps,schedule_b_steps,minimum_adaptive_step
-2,2,2,2,schwarzschild-overtone-continuation,M-kappa,1,200,kerr-prograde-spin-from-dimensionless-surface-gravity,9006739738925335,9007199254740992,0.9999489834961278,0x1.fff9502b91917p-1,0.989731668814414,-0.012455351865997739,0.5880468419202378,0.05326009710552847,true,2.6574418541841618e-12,9.976127916877086e-15,2441,20,24,4.440892098500626e-16,0.0,0.003977872618704399,0.20034326556080662,0.004982286747331325,3.484353829789523,0.0,3.447328528202364e-14,1.6387112854679934e-14,0.9999985011883371,12,15,0.040000000000000036
-2,2,2,2,schwarzschild-overtone-continuation,M-kappa,1,500,kerr-prograde-spin-from-dimensionless-surface-gravity,9007126616916007,9007199254740992,0.9999919355814243,0x1.fffef1672c027p-1,0.995895837629116,-0.0049929441190242245,0.561357078858447,0.021405685160082993,true,6.679709258801782e-11,9.88110483605505e-15,5667,20,24,1.3877787807814457e-17,0.0,0.003977872618704399,0.20034326556080662,0.0019971670617224446,3.484353829789523,0.0,1.8805221814524488e-14,1.6657190229239255e-14,0.9999985011883371,18,23,0.040000000000000036
-2,2,2,2,schwarzschild-overtone-continuation,M-kappa,1,1000,kerr-prograde-spin-from-dimensionless-surface-gravity,9007181168049979,9007199254740992,0.9999979919739198,0x1.ffffbc9f2ff3bp-1,0.997948572686146,-0.0024982080546231736,0.5525105356478814,0.010719403088532102,true,4.213605729117988e-11,9.96653448056596e-15,10674,20,24,1.3322856994638522e-15,5.3299221744222913e-14,0.003977872618704399,0.20034326556080662,0.000999295838348687,3.484353829789523,8.416474177142407e-14,9.960753658934628e-15,1.6996590806813027e-14,0.9999985011883371,23,29,0.040000000000000036
-2,3,3,0,schwarzschild-overtone-continuation,a-over-M,1999,2000,identity-a-over-M,4501347827556811,4503599627370496,0.9995,0x1.ffbe76c8b4396p-1,1.4569479473778417,-0.007576397730100471,5.863375066718675,0.028747282333541263,true,6.380032845646256e-13,8.082545620880531e-15,1000,20,24,5.329088588206323e-15,1.6618650899857812e-15,0.0034418958468781045,0.17294740213418192,0.015152821866983043,4.723455346596135,2.4153830205138116e-15,5.004677228193088e-16,1.5299946365813241e-15,0.999999358792022,4,5,0.04499999999999993
-2,3,3,0,schwarzschild-overtone-continuation,a-over-M,9999,10000,identity-a-over-M,4503149267407759,4503599627370496,0.9999,0x1.fff2e48e8a71ep-1,1.480473021190577,-0.0034685568096536373,5.771405141656097,0.013289035611001483,true,1.3533184959592987e-12,3.691705456433479e-14,1163,20,24,1.4210897066786258e-14,1.6267831280929978e-15,0.0034418958468781045,0.17294740213418192,0.0069371132861036945,4.723455346596135,3.3193794610547556e-15,8.886119947416683e-16,4.951395542680039e-15,0.999999358792022,11,14,0.04499999999999993
-2,3,3,1,schwarzschild-overtone-continuation,a-over-M,1999,2000,identity-a-over-M,4501347827556811,4503599627370496,0.9995,0x1.ffbe76c8b4396p-1,1.456945888613477,-0.022729219457227015,5.86371936986012,0.08624135775725732,true,7.260151331141531e-13,3.4759024441899344e-14,1000,20,24,1.4213564962188567e-14,3.0486806412246154e-15,0.0038127289357843147,0.19158091755850687,0.015152821866983043,4.723455346596135,1.0083939657683536e-14,6.280369834735101e-16,7.841441345153267e-15,0.9999992242112916,4,5,0.04499999999999993
-2,3,3,1,schwarzschild-overtone-continuation,a-over-M,9999,10000,identity-a-over-M,4503149267407759,4503599627370496,0.9999,0x1.fff2e48e8a71ep-1,1.4804728284621047,-0.010405670093080827,5.771476807963323,0.03986705294400168,true,2.4381664439268386e-12,8.118486414922506e-14,1242,20,24,5.330375918432453e-15,4.752858682093901e-15,0.0038127289357843147,0.19158091755850687,0.0069371132861036945,4.723455346596135,4.787668660841745e-15,4.614364446098307e-16,1.3162906158944105e-14,0.9999992242112916,11,14,0.04499999999999993
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,19,20,identity-a-over-M,4278419646001971,4503599627370496,0.95,0x1.e666666666666p-1,1.5486232689211181,-0.05376329413920687,14.747337142602712,0.14900217924470424,true,7.214784133328239e-14,3.636721891222372e-15,1000,20,24,3.5709896874363505e-15,0.0,0.03560393244137658,0.22345772733239813,0.1075627126809358,3.5815697169863308,5.735960165390836e-15,6.6973807122470445e-16,6.894341957538586e-16,0.9998102495497619,7,7,0.022499999999999964
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,97,100,identity-a-over-M,4368491638549381,4503599627370496,0.97,0x1.f0a3d70a3d70ap-1,1.6339032510954916,-0.04513153932064161,14.408130343060561,0.13325930274686454,true,7.19945176923539e-14,1.3918181108678773e-13,1000,20,24,1.2790406497749723e-13,8.187894806610529e-16,0.03560393244137658,0.22345772733239813,0.09027752638463088,3.5815697169863308,3.911493330073137e-15,7.447602459741819e-16,7.683082245783184e-16,0.9998102495497619,10,10,0.022499999999999964
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,49,50,identity-a-over-M,2206763817411543,2251799813685248,0.98,0x1.f5c28f5c28f5cp-1,1.691942841234388,-0.038837627368983024,14.181947876221738,0.11904086031342143,true,6.554642404479389e-14,7.656515266048676e-15,1000,20,24,7.105644194726877e-15,0.0,0.03560393244137658,0.22345772733239813,0.07768214716227549,3.5815697169863308,1.7832957333041577e-15,7.147060721024445e-16,5.967448757360216e-16,0.9998102495497619,12,12,0.022499999999999964
